cluster_id,unique_user_count,avg_rating,avg_order_cost,C_Type_ Korean_count,C_Type_Beverage_count,C_Type_Chinese_count,C_Type_Dessert_count,C_Type_French_count,C_Type_Healthy Food_count,C_Type_Indian_count,C_Type_Italian_count,C_Type_Japanese_count,C_Type_Korean_count,C_Type_Mexican_count,C_Type_Nepalese_count,C_Type_Snack_count,C_Type_Spanish_count,C_Type_Thai_count,C_Type_Vietnames_count,Veg_Non_non-veg_count,Veg_Non_veg_count,avg_user_age,min_user_age,max_user_age,avg_user_monthly_income,min_user_monthly_income,max_user_monthly_income,Gender_Female_user_count,Gender_Male_user_count,Occupation_Employee_user_count,Occupation_Self Employeed_user_count,Occupation_Student_user_count,weather_Cold_user_count,weather_Hot_user_count,weather_Rain_user_count,Marital_Status_Married_user_count,Marital_Status_Single_user_count
0,80,3.8993288590604025,406.8312751677852,31,96,118,434,20,32,15,17,17,11,18,7,31,17,14,16,217,677,22.9125,21.0,29.0,17596.525,5500.0,50000.0,39,41,27,5,48,23,31,26,36,44
1,66,3.784090909090909,392.19086363636364,15,15,15,18,14,17,23,16,15,14,11,18,37,39,97,76,253,187,22.666666666666668,19.0,27.0,15737.212121212122,4000.0,38000.0,41,25,19,3,44,21,24,21,41,25
2,106,3.969849246231156,406.2421943048576,16,12,26,24,157,264,491,68,17,11,25,12,25,11,21,14,563,631,23.056603773584907,18.0,32.0,17491.88679245283,3000.0,45000.0,55,51,46,4,56,26,40,40,58,48
3,75,3.8099808061420344,391.7670633397313,18,22,13,16,20,14,20,17,72,87,40,116,18,17,20,11,246,275,22.893333333333334,20.0,27.0,18709.306666666667,4000.0,40500.0,48,27,34,3,38,28,21,26,48,27
